"";"STATE";"fund_tot";"numaward_tot";"yr";"moneyrat"
"1";"AK";1839495;13;1992;141499,615384615
"2";"AL";111440225;588;1992;189524,192176871
"3";"AR";14596469;100;1992;145964,69
"4";"AZ";68811499;359;1992;191675,484679666
"5";"CA";1158704469;5186;1992;223429,322984959
"6";"CO";129652986;679;1992;190946,960235641
"7";"CT";212036459;916;1992;231480,850436681
"8";"DC";111256365;490;1992;227053,806122449
"9";"DE";4751180;27;1992;175969,62962963
"10";"FL";119492232;655;1992;182430,888549618
"11";"GA";107590095;602;1992;178721,088039867
"12";"GU";194719;1;1992;194719
"13";"HI";16825491;82;1992;205188,914634146
"14";"IA";81267892;395;1992;205741,498734177
"15";"ID";1110398;15;1992;74026,5333333333
"16";"IL";247288066;1377;1992;179584,652142338
"17";"IN";18509325;126;1992;146899,404761905
"18";"KS";26035654;171;1992;152255,286549708
"19";"KY";34882668;250;1992;139530,672
"20";"LA";22478273;138;1992;162886,036231884
"21";"MA";818560167;3514;1992;232942,563175868
"22";"MD";512196289;2165;1992;236580,272055427
"23";"ME";13921084;65;1992;214170,523076923
"24";"MI";241915662;1234;1992;196041,86547812
"25";"MN";172551462;824;1992;209407,11407767
"26";"MO";180774738;882;1992;204960,020408163
"27";"MS";9054709;75;1992;120729,453333333
"28";"MT";4049456;42;1992;96415,6190476191
"29";"NC";315379611;1458;1992;216309,74691358
"30";"ND";1934947;17;1992;113820,411764706
"31";"NE";23209336;158;1992;146894,53164557
"32";"NH";36891151;172;1992;214483,436046512
"33";"NJ";89825011;485;1992;185206,208247423
"34";"NM";28844021;168;1992;171690,601190476
"35";"NV";7256165;52;1992;139541,634615385
"36";"NY";933045206;3976;1992;234669,317404427
"37";"OH";224761913;1171;1992;191940,147736977
"38";"OK";21745152;165;1992;131788,8
"39";"OR";85947611;497;1992;172932,818913481
"40";"PA";497516113;2205;1992;225630,890249433
"41";"PR";20740125;61;1992;340002,049180328
"42";"RI";39703472;226;1992;175679,079646018
"43";"SC";27958144;181;1992;154464,883977901
"44";"SD";1612226;13;1992;124017,384615385
"45";"TN";135332656;669;1992;202290,965620329
"46";"TX";342872831;1827;1992;187669,858237548
"47";"UT";62212843;356;1992;174755,176966292
"48";"VA";246117177;805;1992;305735,623602484
"49";"VI";436712;3;1992;145570,666666667
"50";"VT";32907602;157;1992;209602,560509554
"51";"WA";303648828;1127;1992;269431,080745342
"52";"WI";144270747;765;1992;188589,211764706
"53";"WV";7866544;61;1992;128959,737704918
"54";"WY";1616206;16;1992;101012,875
"55";"AK";2143030;13;1993;164848,461538462
"56";"AL";114736721;609;1993;188401,840722496
